Team,Pressing Intensity,Pressing Resistance,Possession,Field tilt %,Tempo,Directness,Defensive height,Crossing,Air duels,Set Pieces,Dribbling,Width,Shot_Distance,Aggression,Box_Focus,Main_Style,Tactical_Profile
lyon,72.38193018480493,56.0,82.57686676427527,77.75758027519329,96.33080349568567,75.89611699412661,87.34523809523809,51.04214914312182,42.21338634857521,54.166666666666664,66.35831090580125,56.2217562716165,16.2,81.3967932977033,91.97530864197532,Possession,Intense Press & Control
mainz 05,64.50137236962489,46.87640449438202,73.79209370424597,71.32122469361838,90.92250335049387,87.08636704074111,89.07548125633232,81.84344603983327,87.14380384360504,69.79166666666667,65.9991775674647,71.7591164894943,16.3,77.96067489034537,91.41104294478527,Kick and Rush,Aerial & Cross-Heavy
mallorca,51.686217008797655,41.842696629213485,68.5212298682284,63.31675364459144,89.8736817987243,87.77657826889208,79.09344422700589,88.18897637795274,84.8906560636183,100.0,77.67332488069356,81.19398805078418,16.3,85.67831066986017,91.41104294478527,Kick and Rush,Set-Piece & Cross-Heavy
manchester city,60.880829015544045,55.95505617977528,89.7510980966325,100.0,99.4890867964635,63.780391648821464,96.0658235125036,48.818897637795274,42.677269715043074,71.875,78.21615474195004,48.3198279015693,16.9,71.67634702357721,88.16568047337279,Possession,Field tilt % & Control
manchester utd,73.13278008298755,49.662921348314605,78.33089311859445,67.90754036960351,94.41231526981062,72.79148074725497,84.00891764294457,57.480314960629926,64.54605699138503,81.25,69.07161477513921,55.30770492855767,17.4,64.61025563289246,85.63218390804599,Possession,Intense Press & Set-Piece
marseille,68.64654333008764,97.30337078651685,92.67935578330894,79.17816565649072,99.92990044342548,70.7435390247928,86.82142857142858,60.72255673923112,37.17693836978131,73.95833333333333,62.77356122097984,46.965142121885606,16.7,81.30348539127326,89.22155688622755,Possession,Press Resistant & Control
monaco,83.03886925795052,58.29213483146067,80.52708638360176,82.77994110686214,93.65000686830994,82.91324165614876,89.11641791044775,51.92218619731357,56.129887342611,69.79166666666667,77.0647865071184,56.31989196617657,15.7,78.49657175878926,94.90445859872611,High Pressing,Intense Press & Field tilt %
nantes,47.89402173913043,39.056179775280896,59.15080527086384,64.25069741749643,89.31261952098868,86.61359169599899,79.85049833887044,74.80314960629921,57.322730284956926,61.458333333333336,80.80531270516032,78.46477278102887,15.9,77.91564781575708,93.71069182389937,Park the Bus,Wing Play & Cross-Heavy
napoli,62.38938053097345,66.6067415730337,79.94143484626647,69.13318901671538,95.91070980827733,74.19738831726147,84.51348464619493,59.84251968503937,65.60636182902584,72.91666666666667,70.35436857345624,60.925007717848075,16.2,86.05808507161919,91.97530864197532,Possession,Press Resistant & Control
nice,50.46528274874731,48.58426966292135,69.54612005856515,69.95928675380549,91.15910747598033,84.38137494141043,85.24689686301062,57.202408522464104,54.93704440026507,65.625,93.53599142485997,66.66755094178315,16.2,71.21605686827446,91.97530864197532,Park the Bus,Dribblers & Patient
osasuna,55.42452830188679,45.97752808988764,67.49633967789165,73.6910673774685,91.50439014305397,90.70408791899335,82.88134015821313,100.0,75.01656726308813,96.875,81.2854939490712,91.57966277461045,16.7,92.59289400365736,89.22155688622755,Wing-Play,Cross-Heavy & Wing Play
rayo vallecano,80.9414466130884,61.12359550561798,75.69546120058565,68.59986405424178,91.32182457893997,86.50075364549538,79.79141944317664,66.92913385826772,67.92577866136514,85.41666666666667,79.56129354396627,77.16405489423992,19.3,89.10984975856456,77.2020725388601,Kick and Rush,Intense Press & Set-Piece
real madrid,69.73293768545994,68.08988764044943,88.43338213762812,85.38611403773785,98.06555537911872,70.0062506029215,82.40078010726474,26.771653543307085,39.82770046388337,87.5,85.49637155791127,42.76911273736223,18.1,67.24795118486817,82.32044198895028,Possession,Press Resistant & Control
real sociedad,78.07308970099669,57.61797752808989,78.7701317715959,70.18609679153808,93.17505066810044,77.45664569615008,84.70460048426152,50.39370078740157,78.46255798542082,77.08333333333333,78.73184323772726,70.61151539024137,17.5,88.44941147558846,85.14285714285714,Possession,Intense Press & Aerial
rennes,56.44515612489992,51.19101123595506,74.52415812591508,73.62761461316451,93.51381211314273,78.08131476233177,83.92905081495685,54.56229735988884,55.400927766732934,75.0,85.50565355805793,61.461310567673856,17.3,81.69852306535061,86.1271676300578,Park the Bus,Dribblers & Field tilt %
roma,88.45671267252196,58.29213483146067,78.91654465592973,74.77972220713615,96.08042263021791,72.6955283472483,88.61887477313975,63.779527559055126,60.76872100728959,84.375,64.1985821801744,56.24772732172501,17.9,82.76329842903837,83.24022346368716,High Pressing,Intense Press & Set-Piece
sevilla,84.1288782816229,45.483146067415724,73.9385065885798,62.33224674319721,91.94175624463273,78.95349166473686,82.32539682539682,47.24409448818898,64.47978793903248,71.875,88.17154258499598,60.7435676990501,18.8,82.82112419612999,79.25531914893617,High Pressing,Intense Press & Dribblers
st. pauli,42.039355992844364,66.42696629213484,64.71449487554905,63.958123702467205,91.4324648503008,86.16954585397148,82.5833998403831,63.3626679018064,78.79390324718356,75.0,61.65879519020832,70.28364743955835,17.4,77.86005381654294,85.63218390804599,Park the Bus,Aerial & Press Resistant
strasbourg,59.393428812131425,61.168539325842694,73.35285505124452,51.497513626973976,93.74439231200077,78.50642871181029,83.121840915137,44.00185270958777,43.93638170974155,52.083333333333336,81.21396332479068,50.907546261340855,16.0,82.03389691128582,93.125,Possession,Press Resistant & Patient
